city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Mastic Beach,90,US,1562897371,88,40.77,-72.85,75.99,10.29
Alcudia,0,ES,1562897372,78,39.85,3.12,77,3.36
Tsaratanana,58,MG,1562897373,91,-16.8,47.65,60.11,6.33
Vostok,100,RU,1562897374,35,46.45,135.83,81.88,3.36
Ekhabi,93,RU,1562897375,77,53.51,142.97,59.01,7.09
Hun,97,BE,1562897377,67,50.34,4.87,64.4,6.93
Jalu,0,LY,1562897378,35,29.03,21.55,79.71,4.52
Atherton,90,AU,1562897379,78,-17.27,145.48,73.99,16.11
San Rafael del Sur,40,NI,1562897200,94,11.85,-86.44,75.2,4.7
Kichmengskiy Gorodok,100,RU,1562897381,82,59.99,45.81,48.73,1.79
Tucumcari,1,US,1562897382,35,35.17,-103.73,87.8,9.17
Auki,100,NG,1562897384,90,12.18,6.51,72.04,14.05
Kaeo,35,NZ,1562897385,88,-35.1,173.78,62.01,8.99
Salinas,1,US,1562897386,47,36.67,-121.66,84,9.17
Negombo,75,LK,1562897387,94,7.21,79.83,78.8,4.7
Aksarka,96,RU,1562897388,73,66.56,67.8,61.89,17.47
Chicama,90,PE,1562897389,93,-7.84,-79.15,62.6,8.05
